coord_x,coord_y,category
89.44545363149479,400.737205618252,a
119.22806905399823,441.57434913591123,a
126.61968999508589,484.2342691973664,a
102.04865203818127,428.6184834556234,a
113.215881656214,462.6869391492895,a
159.49297565523526,497.33086501506756,a
166.59309557313617,460.88337169101504,a
117.04530970316084,438.1917228956443,a
158.71072603673264,400.84882000520486,a
188.79502816586057,448.87695460864313,a
172.46290279190077,446.60621894691104,a
146.71029397670006,385.4823082691574,a
194.7318127388717,420.29222147703507,a
132.47425027138522,410.0205137124844,a
143.02881957504184,373.53082548248653,a
96.09111317550703,406.9559044515872,a
150.97413232457598,355.9398351661663,a
54.674482804781185,368.67477419092165,a
137.19031561973415,352.70034308278315,a
93.49306237690234,456.4538699448302,a
92.10494016042936,413.17970109415853,a
115.06593002809402,440.9263921936937,a
161.10507543508547,437.5591037474552,a
143.34766939855143,424.26404202422617,a
144.19994022078856,397.5169022198605,a
226.07001737905387,421.323562435807,a
164.59119911055092,420.45243576927294,a
136.3844572078759,378.382242517363,a
164.52940234691064,363.3468386579784,a
178.83709439005744,402.70765694534964,a
144.70172419155236,338.51751141980077,a
117.293977841434,334.6932257091204,a
176.46465644843693,362.34320262909364,a
133.5947089452361,380.6954398339004,a
140.2663148180593,409.6177866552149,a
88.96994000797568,419.25424550543426,a
92.8905015541679,371.8469724100264,a
100.97640280051584,475.5141311324449,a
58.52802396813636,440.2922336911313,a
128.08572489170862,478.571014714002,a
118.10940037469032,432.6068070428579,a
178.2911475186893,481.7518254475867,a
226.1403195306118,450.64672777170665,a
130.20185932327175,429.60163758827366,a
195.04294505478725,465.19445112334984,a
176.887385473702,409.17075820778194,a
143.76368237261775,468.8294362128427,a
180.76717674524863,415.9436576736646,a
184.15034411170166,398.90680225263617,a
167.9891128390716,347.0218647922919,a
150.0393917365045,341.9214900375556,a
143.2428751476283,376.9394803693907,a
128.86076433622884,310.6485957257128,a
164.18933304775413,340.483581963636,a
94.69991173903408,356.7377493445905,a
79.34632301237785,337.88128447432655,a
75.60438191537104,389.23827217660244,a
103.0718977909304,384.0713771319039,a
155.43345235466518,447.83774728718157,a
163.26578533206114,405.4549832360335,a
164.00112720787502,469.3584631452696,a
245.6801625460927,472.98931373452245,a
225.88420171111477,432.4123438135996,a
200.010861554231,387.49655914132563,a
249.9616322788038,392.09826402809756,a
179.3822624346184,395.4882731292329,a
214.73036610983908,337.5730259806869,a
176.97625466084597,348.03493060012653,a
210.78210832978044,388.8518919620211,a
129.5751823937644,381.3094777976411,a
116.3199088122517,336.4501540152928,a
113.19802144823204,353.4817093292476,a
142.62668111762068,365.02190337587035,a
135.63481580286165,322.41373230492434,a
130.68281860269175,404.37535317611986,a
150.18773972690667,429.61083990500185,a
157.51445653647446,404.07138483557384,a
197.93792392773258,386.48224083216644,a
210.32361560311767,382.9491620728993,a
247.29371314709402,352.9921534409306,a
235.08884699933705,344.9916134474566,a
207.7356536436595,385.2690190918138,a
248.55598829183435,320.4438521245373,a
203.81078419346798,320.87197253342697,a
154.35345273458066,333.0073055482923,a
189.2316544067059,323.48109573432,a
166.66060067763794,332.0827586316898,a
90.47949019023352,353.89030285252477,a
97.46154705733727,373.362590937734,a
109.47150482678049,361.40726681991134,a
44.322678323905244,328.739657021951,a
120.11099232176582,363.81926257479086,a
134.0448042441438,459.2487140997362,a
112.03745726602155,404.64951552149284,a
173.60261809881345,438.9156107052172,a
162.12479487646044,453.3817068629193,a
172.0809880974234,400.70594580668154,a
223.77784532854088,383.53897770110484,a
205.72427712322656,401.22214151297345,a
163.78020726368067,370.39056196583164,a
181.7602018596068,369.8384507132282,a
174.67408355840965,371.3300225807826,a
224.85575460736953,365.4540027014961,a
146.14288722051182,341.45769200251834,a
90.71146706991962,353.0827776952307,a
128.5618871678824,356.1196152857101,a
129.2725628045704,390.8809311609822,a
104.94625137477284,389.8113130611996,a
113.94480399692989,415.7150379450992,a
115.07511504204817,412.5179983082438,a
113.08666741792238,396.4688442012531,a
127.6832029953701,392.5143072527768,a
99.3307351054832,377.58426684843573,a
138.32385207459305,389.94757259550613,a
172.28923313646177,400.04472574939695,a
139.08905603743537,407.5086660009691,a
133.29610392561514,378.0149786797832,a
164.61832266005092,427.7434995490173,a
159.52267467410553,338.09670484020313,a
169.7488477134319,346.5477467346884,a
219.2603751552179,339.5409243867663,a
192.14167367895945,360.3496877120458,a
174.08116702892298,358.34900684120646,a
151.71568623469963,332.207623265082,a
111.79223215993139,351.16481843625513,a
138.14703385809833,361.0264765474346,a
119.05227180451053,342.88090732837344,a
139.98307874103315,318.56277514790133,a
123.84185206933111,371.8663172149593,a
133.70162719893264,353.6942558147668,a
74.01792790913876,333.4073620900655,a
100.32334855612926,372.1621674151688,a
123.35019709019264,364.45627802096465,a
69.32094521062334,417.8964864355398,a
133.53331167267876,427.605727887474,a
120.5383574173842,407.2724997556959,a
107.93154402474056,420.2933099091003,a
182.89872001947106,425.5751069464377,a
181.0130462466024,422.33901756258814,a
290.52951441566694,383.46565773643454,a
273.3356826771278,414.4858224533965,a
224.00475077964583,326.69890047578264,a
205.36943623435087,334.9159241485353,a
259.7652508571884,289.74453638063096,a
238.91803506253743,274.8940268261541,a
200.33716416162684,274.056283046584,a
175.43020933517002,289.0312335606261,a
67.10337013483709,311.6050895314155,a
154.94070046128348,289.51356940095366,a
84.07641763805108,340.69502904263993,a
91.29781325317146,292.7859738893832,a
79.94259976108674,366.70235660073183,a
64.734847470034,361.3825902211548,a
64.68662415557623,380.1741370857928,a
72.11491206065415,393.3992878996689,a
77.99559482396431,347.1674483214271,a
18.95040272528381,400.1401921094898,a
73.90383792273036,412.0534586178163,a
38.351574495703176,399.9219665935634,a
175.24924854144018,87.1832214757265,b
134.78657675504314,60.77546546077872,b
138.79956139694104,97.21607175736455,b
170.26278109211,103.73374476952353,b
118.84392015404838,97.36880133174395,b
106.97743754881822,159.19674012645208,b
100.93504788106972,124.84892851220201,b
166.33736358461363,138.64453444371725,b
106.55157059677146,143.01993108780755,b
130.48767501208033,177.01785007649988,b
172.0417589018493,136.9082607052702,b
181.1477903862032,171.70151017401685,b
216.07641976101073,179.8686734742309,b
208.25322358745254,143.27022026318548,b
228.06897036710097,141.29310820053087,b
169.30009671760462,146.78319469055816,b
258.8952535346161,166.80073361287862,b
241.74489589748174,79.28190085867311,b
207.52010629513057,142.36572673884092,b
241.7527810277972,113.23322578466667,b
214.4010466884453,109.42379915963181,b
204.89034535800243,96.93003246196093,b
178.28728805193364,147.69705227474765,b
178.52705852485423,127.23156523564103,b
152.48979375131455,115.56564938983388,b
97.12143489139467,120.96012035705246,b
108.578610926117,123.20855112481269,b
119.82032346881198,157.19317863289302,b
96.30220242517932,110.6272835705023,b
66.8096378276785,152.91684773536804,b
67.5434421275517,138.7035664635119,b
141.30783252043875,97.27949995167876,b
101.19677875618086,166.7484385469732,b
104.47923350989838,156.0292181803709,b
178.49094409886274,164.5982511743723,b
198.74454428271667,161.8646741950319,b
223.71052682756599,142.1282967742162,b
225.65296476703801,122.47826346214049,b
197.7944272171536,172.95330543030798,b
262.50708755882624,119.20225700139127,b
289.86896533158034,95.08486584291416,b
280.8763870074286,71.40646318498807,b
205.91730124699444,74.68973358063778,b
223.54245333903518,68.194105849366,b
138.10759252080183,75.87237588437739,b
92.56325994705212,72.54326324946538,b
113.99141805869738,42.10777076221706,b
112.0194175670928,73.41122270503513,b
109.30280756589626,98.1734956925689,b
113.33428089676714,127.62443785220728,b
109.16020223696184,136.45189121338842,b
120.86102145294379,138.26940881862862,b
98.59634240129229,89.43882909025024,b
150.30561028622543,112.51946923570836,b
119.95613745576219,128.36085979709736,b
197.84352243582487,155.66429747394926,b
184.64321830201968,144.25458159273984,b
179.2115571306011,165.51558474847513,b
247.48969495894625,141.2500264074347,b
203.4957795040914,94.40079135557534,b
